,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
67,68,Toronto,Business Development Manager (DM),CFIB - Canadian Federation of Independent Business,"Toronto, ON","$70,000 - $100,000 a year",http://www.indeed.ca/rc/clk?jk=5867ea8ff169f679&fccid=4909b2651e80898b&vjs=3,business_development_manager sales now business_development sales_management
68,69,Toronto,"Manager, GB Finance",Sun Life Financial,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=e27ef16590420acc&fccid=4271edc9c2f82254&vjs=3,team_building compliance delivery relationship communication_skills project_management insurance share portfolio_management finance ms_office accounting policies mba project_manager business_analysis financial_services business_management dealing interpersonal_skills excel relationship_management operations
69,70,Toronto,Corporate Finance Manager,Fidelity Investments,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=c6b9445ebdd96fe5&fccid=deb234f9dd3edcea&vjs=3,strategy sales_and_marketing inside_sales marketing delivery primary sales ca finance accounting senior_management financial_services process_improvement analytics analytical business_analytics advisor travel
70,71,Toronto,"Manager, Wealth Management Finance",RBC,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=49b6985002297825&fccid=537b899e30af3338&vjs=3,legal market loans bank sales forecasting banking insurance financial_modeling finance events accounting senior_management financial_services excel analytical mutual_funds advisor travel wealth_management recruitment
71,72,Toronto,Finance Manager - Imports,Molson Coors Brewing Company,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=c439ae94ebf199f4&fccid=af3cbfb671fbd7f8&vjs=3,strategy market budgeting distribution forecasting ca selling finance events finance_manager partnerships
72,73,Toronto,Special Finance Manager,AutoLoans.ca,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=b652797a51b14fdb&fccid=e17b2851d3bbf549&vjs=3,loans sales ca finance sourcing auto_loan sales_process finance_manager
73,74,Toronto,Finance Implementation Manager,Moneris,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=7e5bbcc27e371341&fccid=3308ce641126a211&vjs=3,communication_skills ca project_management share finance ms_office management_skills accounting continuous_improvement policies senior_management dealing team_management
74,75,Toronto,"Finance Manager, Capex, Transformation & Integration",Molson Coors Brewing Company,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=1a92b57fbf829b95&fccid=af3cbfb671fbd7f8&vjs=3,compliance delivery communication_skills ca project_management selling finance events accounting finance_manager operations
75,76,Toronto,"Marketing Manager, Home Equity Finance (Acquisition, Advertising)",RBC,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=ef3409e32d7054ee&fccid=537b899e30af3338&vjs=3,market marketing bank social_media forecasting mortgage banking project_management insurance advertising finance management_skills branding marketing_initiatives mba project_manager financial_services analytics marketing_campaigns competitive_intelligence sme options media_marketing campaigns marketing_programs partnerships equity travel wealth_management marketing_manager
76,77,Toronto,IT Business Relationship Manager,SCI Group Inc,"Etobicoke, ON",no salary info,http://www.indeed.ca/company/SCI-Group-Inc/jobs/IT-Business-Relationship-Manager-ccfcf577c3b2dc8a?fccid=ee574225dce8c17a&vjs=3,it_management strategy retail delivery technical_skills relationship client_relationship it_services business_operations customer_service client_management policies interpersonal_skills client_relationship_management proposals relationship_management operations
77,78,Toronto,"Manager, Financial Control, T&O Finance",RBC,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=5ca7a5ee0ca49276&fccid=537b899e30af3338&vjs=3,market compliance bank communication_skills banking insurance finance events accounting policies financial_services excel stock operations travel wealth_management recruitment
78,79,Toronto,Office Administrator/Manager,BLACKBELT World,"Milton, ON","$30,000 a year",http://www.indeed.ca/company/Black-Belt-World/jobs/Office-Administrator-Manager-75142ad6ea5eb413?fccid=3e76614038c7888a&vjs=3,promotions sales social_media college excel operations
79,80,Toronto,Business Developement Manager,Canada Car Rental Ltd.,"Toronto, ON","$45,000 - $50,000 a year",http://www.indeed.ca/company/Canada-Car-Rental-Ltd./jobs/Business-Developement-Manager-c7e6cf7be9d70b20?fccid=cba5357bb7c12b1f&vjs=3,strategy market marketing time_management sales_planning marketing_strategy sales selling presentation_skills management_skills negotiation_skills negotiation business_growth car_rental presentation business_opportunities new_business
80,81,Toronto,"Sr. Marketing Manager, Partnerships - Based in Toronto",Uber,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=d7b93e125cbebb29&fccid=f766f8bfbc3effb7&vjs=3,legal strategy marketing relationship sales project_management prospecting account_management management_skills now mba negotiation business_development partnerships relationship_management operations marketing_manager
